Date,Open,High,Low,Close,Adj Close,Volume
2008-12-01,29907.59961,33339.60156,24489.90039,31868.80078,30051.76758,24105770
2009-01-01,32359,34320.19922,29662.5,34197.60156,32247.78711,18013020
2009-02-01,34320.19922,35545.89844,30030.19922,32604.19922,30745.23438,32258506
2009-03-01,33217.10156,41919.69922,29785,37016.80078,34906.25,37094640
2009-04-01,37261.89844,43513.10156,36894.19922,38119.89844,35946.44922,32803367
2009-05-01,38119.89844,49641.69922,37874.80078,48783.69922,46002.24219,27970663
2009-06-01,48538.60156,50132,40816.5,43268,40801.02734,21969054
2009-07-01,42900.19922,48293.39844,42410,43758.30078,41263.375,19752524
2009-08-01,44126,45229.10156,38732.80078,41674.5,39298.38281,35831763
2009-09-01,41429.39844,44126,39223.10156,42532.5,40107.46484,34822720
2009-10-01,42900.19922,44493.69922,39100.5,43513.10156,41032.15625,28885129
2009-11-01,43022.80078,48293.39844,42900.19922,45351.69922,42765.92969,17853799
2009-12-01,45229.10156,51480.30078,44371.10156,47067.69922,44384.08203,23189303
2010-01-01,46577.39844,48293.39844,41674.5,42410,39991.94531,20892261
2010-02-01,42287.39844,44984,39468.19922,44371.10156,41841.23828,21061134
2010-03-01,45474.30078,47312.80078,43880.80078,44126,41610.10938,17812657
2010-04-01,44371.10156,48661.10156,44126,45474.30078,42881.53125,21063889
2010-05-01,45351.69922,45964.60156,41552,42655.10156,40223.07031,18030356
2010-06-01,43390.5,47803.10156,43022.80078,44984,42419.1875,14580162
2010-07-01,45351.69922,49764.30078,44984,45106.60156,42534.79688,22349891
2010-08-01,45474.30078,48783.69922,44616.30078,48170.89844,45424.37891,18502702
2010-09-01,48538.60156,52460.89844,46209.69922,48048.30078,45308.77344,16444646
2010-10-01,48538.60156,53686.60156,48293.39844,48906.30078,46117.85547,17133478
2010-11-01,48783.69922,49764.30078,45596.80078,48048.30078,45308.77344,17698055
2010-12-01,48538.60156,56138,45351.69922,55647.80078,52474.98047,16882995
2011-01-01,56138,56260.60156,47435.39844,49028.89844,46233.46094,27068457
2011-02-01,49274,51235.19922,44371.10156,46454.80078,43806.125,16766468
2011-03-01,46209.69922,47803.10156,43145.39844,46945.10156,44268.46875,15230441
2011-04-01,47558,52951.19922,46577.39844,52093.19922,49123.04688,16250706
2011-05-01,52093.19922,53686.60156,45719.39844,47067.69922,44384.08203,13469124
2011-06-01,47435.39844,49396.60156,45596.80078,46332.30078,43690.61328,13054005
2011-07-01,47067.69922,54054.30078,44616.30078,51480.30078,48545.09766,21809233
